City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kodiak,US,57.79,-152.4072,47.71,71,0,9.22,clear sky
1,Airai,TL,-8.9266,125.4092,73.26,54,23,4.16,few clouds
2,Ribeira Grande,PT,38.5167,-28.7,59.2,67,100,10.67,overcast clouds
3,Laguna,US,38.421,-121.4238,92.14,24,0,9.22,clear sky
4,Albany,US,42.6001,-73.9662,56.17,63,13,11.56,few clouds
5,West Wendover,US,40.7391,-114.0733,78.01,18,0,9.22,clear sky
6,Pleshanovo,RU,52.8333,53.4833,45.27,91,6,5.23,clear sky
7,Narsaq,GL,60.9167,-46.05,48.42,83,95,1.88,overcast clouds
8,Kahului,US,20.8947,-156.47,87.82,45,40,11.5,scattered clouds
9,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,84,91,6.87,overcast clouds
10,Mataura,NZ,-46.1927,168.8643,61.48,60,85,5.32,light rain
11,Caldwell,US,43.6629,-116.6874,76.35,26,0,9.22,clear sky
12,Alamogordo,US,32.8995,-105.9603,88.61,7,0,13.8,clear sky
13,Sola,VU,-13.8833,167.55,80.11,78,11,10.92,few clouds
14,Port Alfred,ZA,-33.5906,26.891,69.84,46,0,10.38,clear sky
15,Natchitoches,US,31.7668,-93.1335,82.38,74,0,3.44,clear sky
16,Thinadhoo,MV,0.5333,72.9333,84.4,72,98,18.45,overcast clouds
17,Ushuaia,AR,-54.8,-68.3,46.06,66,0,2.3,clear sky
18,Sand Springs,US,36.1398,-96.1089,82.11,75,0,13.8,clear sky
19,Chuy,UY,-33.6971,-53.4616,57.06,89,92,24.05,overcast clouds
20,Thompson,CA,55.7435,-97.8558,50.16,43,20,10.36,few clouds
21,Sitka,US,57.0531,-135.33,51.69,54,100,12.66,overcast clouds
22,Bengkulu,ID,-3.8004,102.2655,83.46,70,11,2.82,few clouds
23,Bluff,NZ,-46.6,168.3333,61.81,68,93,13.44,overcast clouds
24,Coquimbo,CL,-29.9533,-71.3436,49.73,93,0,6.91,clear sky
25,Geraldton,AU,-28.7667,114.6,68.41,88,40,6.91,scattered clouds
26,Rikitea,PF,-23.1203,-134.9692,76.95,74,65,21.85,broken clouds
27,Atuona,PF,-9.8,-139.0333,79.05,69,0,14.79,clear sky
28,Esperance,AU,-33.8667,121.9,64.24,67,5,19.93,clear sky
29,Iqaluit,CA,63.7506,-68.5145,26.33,79,75,4.61,broken clouds
30,Hithadhoo,MV,-0.6,73.0833,84.72,69,100,17.22,overcast clouds
31,Mar Del Plata,AR,-38.0023,-57.5575,53.94,72,40,19.57,light rain
32,Busselton,AU,-33.65,115.3333,63.19,85,100,8.32,overcast clouds
33,Cape Town,ZA,-33.9258,18.4232,71.91,44,0,8.01,clear sky
34,Port Moresby,PG,-9.4431,147.1797,89.02,62,20,11.5,haze
35,Bredasdorp,ZA,-34.5322,20.0403,70.68,30,100,7.96,overcast clouds
36,Muroto,JP,33.2833,134.15,67.17,68,100,9.19,overcast clouds
37,Kapaa,US,22.0752,-159.319,84.18,74,20,16.11,few clouds
38,Bestobe,KZ,52.4994,73.0975,61.3,63,100,9.98,light rain
39,Jamestown,US,42.097,-79.2353,51.39,71,0,6.91,clear sky
40,Itirucu,BR,-13.5317,-40.1503,66.87,92,96,3.18,overcast clouds
41,Saldanha,ZA,-33.0117,17.9442,64.6,59,100,19.39,overcast clouds
42,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,57.79,47,75,8.95,broken clouds
43,Yar-Sale,RU,66.8333,70.8333,34.99,95,98,7.0,overcast clouds
44,Shubarkuduk,KZ,49.1447,56.4872,53.08,66,58,15.01,broken clouds
45,Nouakchott,MR,18.0858,-15.9785,87.73,32,39,12.41,scattered clouds
46,Canandaigua,US,42.8742,-77.288,56.23,79,100,4.0,overcast clouds
47,Tucuman,AR,-26.8241,-65.2226,46.4,87,0,8.05,clear sky
48,Solnechnyy,RU,50.7214,136.6319,45.1,81,100,6.38,overcast clouds
49,Khatanga,RU,71.9667,102.5,35.02,95,86,13.4,overcast clouds
50,Hilo,US,19.7297,-155.09,84.27,81,40,18.41,scattered clouds
51,Vaini,TO,-21.2,-175.2,78.96,69,20,10.36,few clouds
52,Kailua,US,21.4022,-157.7394,84.18,63,20,12.66,few clouds
53,Nikolskoye,RU,59.7035,30.7861,40.91,86,100,4.27,overcast clouds
54,Punta Arenas,CL,-53.15,-70.9167,44.71,81,100,8.05,overcast clouds
55,Butaritari,KI,3.0707,172.7902,82.26,73,13,10.69,few clouds
56,Iwakuni,JP,34.15,132.1833,65.68,52,20,5.75,few clouds
57,Kalanganan,PH,8.0833,124.2467,82.44,65,64,1.97,broken clouds
58,Bac Lieu,VN,9.285,105.7244,83.77,70,100,1.99,overcast clouds
59,Charters Towers,AU,-20.1,146.2667,78.76,52,0,12.44,clear sky
60,Bethel,US,41.3712,-73.414,64.76,47,0,8.05,clear sky
61,Along,IN,28.1667,94.7667,71.26,99,100,0.76,overcast clouds
62,Ponta Do Sol,PT,32.6667,-17.1,68.63,79,65,2.19,broken clouds
63,Ipanema,BR,-30.1391,-51.2244,51.73,94,100,20.71,overcast clouds
64,Mnogovershinnyy,RU,53.9353,139.9242,38.98,81,99,6.06,overcast clouds
65,Northam,GB,51.0333,-4.2167,53.62,91,13,10.22,few clouds
66,Hermiston,US,45.8404,-119.2895,73.22,26,0,5.75,clear sky
67,Clyde River,CA,70.4692,-68.5914,26.83,93,100,3.44,overcast clouds
68,Fortuna,US,40.5982,-124.1573,59.94,73,0,13.8,clear sky
69,Saint-Philippe,RE,-21.3585,55.7679,67.59,70,30,8.88,scattered clouds
70,Sao Filipe,CV,14.8961,-24.4956,74.86,73,100,6.26,overcast clouds
71,Constitucion,CL,-35.3333,-72.4167,52.84,72,4,2.82,clear sky
72,Sosva,RU,59.1766,61.8558,52.07,82,25,4.12,scattered clouds
73,Sao Joaquim Do Monte,BR,-8.4325,-35.8044,67.69,96,13,2.75,few clouds
74,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,86,100,13.8,overcast clouds
75,Tiksi,RU,71.6872,128.8694,26.04,86,100,10.4,overcast clouds
76,Ozinki,RU,51.1786,49.6769,45.57,83,98,15.26,overcast clouds
77,Leningradskiy,RU,69.3833,178.4167,32.65,97,100,5.28,overcast clouds
78,Wilkie,CA,52.4168,-108.7014,48.88,91,100,12.24,overcast clouds
79,Asadabad,IR,34.7824,48.1185,46.35,62,0,3.09,clear sky
80,Puerto Ayora,EC,-0.7393,-90.3518,73.54,96,100,6.51,overcast clouds
81,Dikson,RU,73.5069,80.5464,33.73,100,100,5.86,overcast clouds
82,Fort Nelson,CA,58.8053,-122.7002,56.79,26,40,3.44,scattered clouds
83,Muros,ES,42.7762,-9.0603,59.09,93,100,3.29,overcast clouds
84,Moyale,KE,3.5167,39.0584,62.01,95,29,6.89,scattered clouds
85,Tuatapere,NZ,-46.1333,167.6833,58.21,64,90,7.45,overcast clouds
86,Sao Raimundo Das Mangabeiras,BR,-7.0219,-45.4811,74.73,77,100,2.91,overcast clouds
87,Kisangani,CD,0.5167,25.2,69.51,99,36,1.81,scattered clouds
88,Hobart,AU,-42.8794,147.3294,52.27,77,75,14.97,broken clouds
89,Whitefish,US,48.4111,-114.3376,59.9,34,0,12.66,clear sky
90,Minot,US,48.2325,-101.2963,75.42,33,40,8.05,scattered clouds
91,Poum,NC,-20.2333,164.0167,78.66,73,26,9.19,scattered clouds
92,Upernavik,GL,72.7868,-56.1549,15.57,94,46,5.53,scattered clouds
93,Yellowknife,CA,62.456,-114.3525,54.12,37,75,19.57,broken clouds
94,Koslan,RU,63.4564,48.8989,33.67,78,92,6.58,overcast clouds
95,Klaksvik,FO,62.2266,-6.589,50.92,99,100,23.44,overcast clouds
96,Dickinson,US,29.4608,-95.0513,84.13,77,0,10.36,clear sky
97,Quixada,BR,-4.9714,-39.0153,72.45,96,78,3.91,broken clouds
98,Grand Gaube,MU,-20.0064,57.6608,73.8,70,0,5.01,clear sky
99,New Norfolk,AU,-42.7826,147.0587,51.93,70,100,5.01,overcast clouds
100,Timizart,DZ,36.8,4.2667,64.76,63,0,3.62,clear sky
101,Naze,JP,28.3667,129.4833,74.32,73,100,16.28,overcast clouds
102,Bambous Virieux,MU,-20.3428,57.7575,73.65,64,75,11.5,broken clouds
103,Samoded,RU,63.6083,40.5111,34.54,99,100,2.01,light snow
104,Kidal,ML,18.4411,1.4078,88.79,13,54,8.57,broken clouds
105,Champerico,GT,14.3,-91.9167,84.96,70,99,6.8,overcast clouds
106,Berlevag,NO,70.8578,29.0864,33.75,86,100,26.46,snow
107,Albufeira,PT,37.0882,-8.2503,73.24,72,11,12.48,few clouds
108,Bam,IR,29.106,58.357,83.84,11,0,5.23,clear sky
109,Zhigansk,RU,66.7697,123.3711,32.0,82,53,7.85,broken clouds
110,Chokurdakh,RU,70.6333,147.9167,30.47,87,100,2.98,overcast clouds
111,Saskylakh,RU,71.9167,114.0833,20.98,92,85,8.99,overcast clouds
112,Victoria,HK,22.2855,114.1577,78.96,37,42,11.99,scattered clouds
113,Castro,BR,-24.7911,-50.0119,36.93,76,10,14.18,clear sky
114,Phan Thiet,VN,10.9333,108.1,80.55,82,100,1.57,overcast clouds
115,Esmeralda,CU,21.8525,-78.1169,76.89,84,86,2.01,overcast clouds
116,Diego De Almagro,CL,-26.3667,-70.05,59.59,31,3,2.33,clear sky
117,Faanui,PF,-16.4833,-151.75,81.54,72,81,12.46,broken clouds
118,Bandarbeyla,SO,9.4942,50.8122,84.42,66,62,26.26,broken clouds
119,Cherskiy,RU,68.75,161.3,49.55,62,89,5.06,overcast clouds
120,East London,ZA,-33.0153,27.9116,68.52,50,0,5.97,clear sky
121,Libohove,AL,40.0311,20.2631,58.8,82,2,3.71,clear sky
122,Sakakah,SA,29.9697,40.2064,80.17,20,40,7.96,scattered clouds
123,Penzance,GB,50.1186,-5.5371,56.08,87,12,15.66,few clouds
124,Siteki,SZ,-26.45,31.95,60.8,100,2,3.44,clear sky
125,Qaanaaq,GL,77.484,-69.3632,21.49,73,76,7.72,broken clouds
126,Port Elizabeth,ZA,-33.918,25.5701,66.31,45,0,3.44,clear sky
127,Lebu,CL,-37.6167,-73.65,51.66,69,7,4.07,clear sky
128,Bichura,RU,50.5881,107.6022,68.32,38,20,9.37,few clouds
129,Corralillo,CU,22.9819,-80.5856,77.81,80,82,4.14,broken clouds
130,Hermanus,ZA,-34.4187,19.2345,68.92,47,100,5.97,overcast clouds
131,Cururupu,BR,-1.8283,-44.8683,76.21,92,14,2.77,few clouds
132,Guamuchil,MX,25.4667,-108.1,81.75,56,2,5.73,clear sky
133,Talnakh,RU,69.4865,88.3972,42.21,93,100,5.26,light rain
134,Springfield,US,37.2153,-93.2982,73.65,70,20,7.0,few clouds
135,Baganga,PH,7.5739,126.56,85.17,69,26,4.45,scattered clouds
136,Mogadishu,SO,2.0371,45.3438,80.19,80,62,16.62,broken clouds
137,Prince Rupert,CA,54.3161,-130.3201,44.69,85,100,28.77,light rain
138,Torbay,CA,47.6666,-52.7314,42.28,81,100,19.57,overcast clouds
139,Barsovo,RU,61.1667,73.1667,51.93,61,52,4.68,broken clouds
140,Anadyr,RU,64.75,177.4833,43.3,70,20,13.42,few clouds
141,Sibolga,ID,1.7427,98.7792,82.44,61,100,0.81,overcast clouds
142,Am Timan,TD,11.0297,20.2827,82.35,58,88,10.74,light rain
143,Balabac,PH,7.9868,117.0645,86.07,68,100,6.17,overcast clouds
144,Pemba,MZ,-12.974,40.5178,75.9,94,75,8.05,broken clouds
145,Farsund,NO,58.0948,6.8047,54.95,55,100,17.0,overcast clouds
146,Umm Lajj,SA,25.0213,37.2685,80.4,54,0,7.61,clear sky
147,Lafiagi,NG,8.8667,5.4167,79.29,68,82,3.98,broken clouds
148,Brae,GB,60.3964,-1.353,50.31,93,74,24.9,broken clouds
149,Kamloops,CA,50.6665,-120.3192,59.99,36,75,5.75,broken clouds
150,Tessalit,ML,20.1986,1.0114,85.73,9,49,5.55,scattered clouds
151,Santiago,CL,-33.4569,-70.6483,59.29,69,3,8.05,mist
152,Marzuq,YE,14.4,46.4667,69.35,21,4,2.33,clear sky
153,Pisco,PE,-13.7,-76.2167,62.65,88,100,5.75,mist
154,Camana,PE,-16.6228,-72.7111,64.47,80,14,4.92,few clouds
155,Egvekinot,RU,66.3167,-179.1667,30.36,93,100,5.82,overcast clouds
156,Buchanan,LR,5.8808,-10.0467,79.63,86,92,8.1,light rain
157,Katsuura,JP,35.1333,140.3,65.89,78,100,6.82,light rain
158,Provideniya,RU,64.3833,-173.3,30.31,86,40,13.42,scattered clouds
159,Pevek,RU,69.7008,170.3133,33.04,99,100,3.29,light snow
160,Gimli,CA,50.6336,-96.9907,39.22,100,100,9.22,moderate rain
161,Abu Kamal,SY,34.4506,40.9171,71.91,46,0,7.45,clear sky
162,Tabou,CI,4.423,-7.3528,79.63,82,72,7.29,broken clouds
163,Pochutla,MX,15.7432,-96.4661,84.81,62,7,5.44,clear sky
164,Arraial Do Cabo,BR,-22.9661,-42.0278,68.85,80,96,15.43,overcast clouds
165,Talcahuano,CL,-36.7167,-73.1167,49.68,87,100,0.0,mist
166,Mwinilunga,ZM,-11.7358,24.4293,56.86,80,100,3.24,overcast clouds
167,Date,JP,42.4681,140.8681,57.49,63,0,3.33,clear sky
168,Sobolevo,RU,54.4299,31.8996,41.41,94,100,13.51,overcast clouds
169,Seoul,KR,37.5683,126.9778,65.64,69,0,14.97,light rain
170,Carnarvon,AU,-24.8667,113.6333,73.83,54,1,6.96,clear sky
171,Lolodorf,CM,3.2333,10.7333,69.3,100,96,1.52,overcast clouds
172,Almaznyy,RU,48.0448,40.045,49.21,69,100,4.45,overcast clouds
173,Hassleholm,SE,56.1591,13.7664,43.36,96,100,4.83,overcast clouds
174,Vanimo,PG,-2.6741,141.3028,86.4,67,37,7.72,scattered clouds
175,Luderitz,NA,-26.6481,15.1594,69.62,38,96,4.0,overcast clouds
176,Bathsheba,BB,13.2167,-59.5167,81.21,78,20,19.57,few clouds
177,Saint-Leu,RE,-21.15,55.2833,70.63,70,4,9.75,clear sky
178,Hay River,CA,60.8156,-115.7999,48.18,93,100,9.22,light rain
179,Viedma,AR,-40.8135,-62.9967,43.99,83,1,7.31,clear sky
180,Tual,ID,-5.6667,132.75,83.14,69,100,13.96,overcast clouds
181,Antofagasta,CL,-23.65,-70.4,56.48,67,81,6.55,broken clouds
182,Ambilobe,MG,-13.2,49.05,69.37,86,25,2.82,scattered clouds
183,Nishihara,JP,26.1842,127.7558,75.25,71,40,13.8,scattered clouds
184,Buala,SB,-8.145,159.5921,85.35,69,39,3.4,scattered clouds
185,Paamiut,GL,61.994,-49.6678,34.7,88,13,10.58,few clouds
186,Port Hardy,CA,50.6996,-127.4199,51.98,66,100,6.91,overcast clouds
187,Nara,JP,34.6851,135.8049,73.71,36,100,2.26,overcast clouds
188,Peniche,PT,39.3558,-9.3811,63.28,94,100,3.33,overcast clouds
189,Mankono,CI,8.0586,-6.1897,75.6,84,70,7.67,light rain
190,Caernarfon,GB,53.1413,-4.2702,55.13,43,75,21.0,broken clouds
191,Myitkyina,MM,25.3833,97.4,74.88,94,96,1.01,overcast clouds
192,Skelleftea,SE,64.7507,20.9528,46.0,50,20,11.5,few clouds
193,Santiago Del Estero,AR,-27.7951,-64.2615,48.83,41,0,6.42,clear sky
194,Ixtapa,MX,20.7,-105.2,78.03,73,20,9.22,few clouds
195,Dekernes,EG,31.0876,31.595,63.27,78,0,2.59,clear sky
196,Asilah,MA,35.465,-6.0348,69.76,66,7,5.5,clear sky
197,Inuvik,CA,68.3499,-133.7218,32.86,89,100,10.36,light shower snow
198,Uitenhage,ZA,-33.7576,25.3971,65.62,40,0,9.93,clear sky
199,Bindura,ZW,-17.3019,31.3306,59.25,62,96,1.12,overcast clouds
200,Capela,BR,-10.5033,-37.0528,71.76,98,14,4.56,few clouds
201,Bourail,NC,-21.5667,165.4833,82.35,54,53,2.37,broken clouds
202,Cao Bang,VN,22.6667,106.25,77.05,64,73,3.65,broken clouds
203,Paoua,CF,7.2427,16.4406,70.05,92,98,1.07,overcast clouds
204,Kavieng,PG,-2.5744,150.7967,85.35,68,6,6.4,clear sky
205,Kaitangata,NZ,-46.2817,169.8464,59.16,56,75,4.52,light rain
206,Bereda,ES,43.2686,-7.5406,57.42,100,100,0.85,overcast clouds
207,Mount Gambier,AU,-37.8333,140.7667,55.31,67,40,18.41,scattered clouds
208,Kijang,KR,35.2442,129.2139,74.93,42,2,13.29,clear sky
209,Cabo San Lucas,MX,22.8909,-109.9124,79.9,69,20,16.11,few clouds
210,Girua,BR,-28.0283,-54.3497,45.09,92,100,16.64,overcast clouds
211,Muzhi,RU,65.3667,64.6667,36.41,62,30,18.32,scattered clouds
212,Bairnsdale,AU,-37.8333,147.6167,60.06,49,8,4.0,clear sky
213,Kununurra,AU,-15.7667,128.7333,89.58,45,1,8.05,clear sky
214,Longyearbyen,SJ,78.2186,15.6401,28.24,74,20,5.75,few clouds
215,Siavonga,ZM,-16.5382,28.7088,64.18,70,1,5.97,clear sky
216,Betioky,MG,-23.7167,44.3833,62.83,66,0,9.35,clear sky
217,Alice Springs,AU,-23.7,133.8833,69.22,32,40,11.5,scattered clouds
218,Rakiv Lis,UA,51.6217,24.9243,35.31,85,6,9.48,clear sky
219,Pangnirtung,CA,66.1451,-65.7125,18.45,85,28,7.87,scattered clouds
220,Tomatlan,MX,19.9333,-105.25,73.85,68,4,4.0,clear sky
221,Taseyevo,RU,57.2169,94.8978,76.1,36,64,11.54,broken clouds
222,Angoche,MZ,-16.2325,39.9086,68.72,92,16,8.66,few clouds
223,Ancud,CL,-41.8697,-73.8203,45.18,70,100,8.32,overcast clouds
224,Puerto Colombia,CO,10.9878,-74.9547,77.09,82,99,0.94,overcast clouds
225,Gobabis,NA,-22.45,18.9667,53.02,58,9,10.31,clear sky
226,San Jeronimo,PE,-11.9472,-75.2829,50.52,84,100,2.17,overcast clouds
227,Dongzhen,CN,22.3797,110.9389,78.33,64,26,1.03,scattered clouds
